course_label,category,note
Online 3days AMP,AMP,
Online 3days AMP - Voucher,AMP,
Online 4days AMP,AMP,
Online Agriculture TTP,,
Online BCPE,,
Online Children Yoga Teacher Training Course,Sri Sri Yoga,
Online GEP,,
Online Gopalan Training,,
Online HAMP,AMP,
Online High Income Yielding Kitchen Gardens,,
Online Home Gardening Training Program,,
Online Know Your Child,,
Online Know Your Teen,,
Online Low Cost Cold Storage Construction Course,,
Online Mandala Vaatika Package,,
Online Medha Yoga 1 Upgrade,UY/MY/IP,
Online Medha Yoga Level 1,UY/MY/IP,
Online Medha Yoga Level 2,UY/MY/IP,
Online Meditation and Breath + Sahaj Samadhi Program,HP,
Online Meditation and Breath + Sahaj Samadhi Program,Sahaj,
Online Meditation and Breath Workshop,HP,
Online Meditation and Breath Workshop - Voucher,HP,
Online Meditation and Breath Workshop for Youth,HP,
Online Meditation and Breath for Youth + Sahaj Samadhi,HP,
Online Meditation and Breath for Youth + Sahaj Samadhi,Sahaj,
Online Nakshatra Vanam,,
Online One Year 200H Yoga Teacher Training Course,Sri Sri Yoga,
Online PRAN,,
Online Part2 BusyBee,AMP,
Online Prenatal Yoga Teacher Training Course,Sri Sri Yoga,
Online Quit Tobacco Program,,
Online Rural Happiness Program,Rural HP,
Online Rural VTP,,
Online SC MY1,UY/MY/IP,
Online SC UY,UY/MY/IP,
Online SELP,YES+,
Online SSY,Sri Sri Yoga,
Online SYP 50 Hrs Training,,
Online Sahaj Samadhi Dhyana Yoga,Sahaj,
Online Sahaj Samadhi Dhyana Yoga - Voucher,Sahaj,
Online Sahaj Samadhi Dhyana Yoga 1on1,Sahaj,
Online SpineCare Program for Adults,,
Online SpineCare Program for  Children,,
Online Sri Sri Kids Gardening,,
Online Sri Sri Kids Gardening Orientation,,
Online Sri Sri Lemurrian Yoga,Sri Sri Yoga,
Online Sri Sri Natural Farming,,
Online Sri Sri Natural Farming Orientation,,
Online Sri Sri Yoga Classes,Sri Sri Yoga,
Online Sri Sri Yoga Classes - Pre & Post Natal care,Sri Sri Yoga,
Online Sri Sri Yoga Classes for Kids,Sri Sri Yoga,
Online Sri Sri Yoga Deep Dive,Sri Sri Yoga,
Online Sri Sri Yoga Level  1,Sri Sri Yoga,
Online Stress Free Exams,,
Online Suryamandala / Ganga Mandala Herbal Garden,,
Online TAOL Yoga & Meditation Program for Educators,,
Online Utkarsh Yoga Upgrade,UY/MY/IP,
Online Utkarsha Yoga,UY/MY/IP,
Online VTP,,
Online WP StayConnected,,
Online Welllness Program,,
Online Wellness Program for Substance Users,,
Online Women Wellness Module,,
Online Women Wellness Program,,
Online YLTP Program,YLTP/WLTP,
Online Yes+,YES+,
Online iExcel Holistic Well Being Program,,
Online iExcel iLead,,
Organic grower,,
P.R.A.N - Tribal,,
P.R.A.N TTP – Tobacco,,
P.R.A.N TTP – Tribal,,
P.R.A.N TTP – Urban,,
PDMOF Project Trainer,,
PDS,,
PEP,,
PY Junior Special Needs-Deaf Students,,
PY Senior Special Needs-Deaf Students,,
Padmasadhana Instructor Trg,,
Part 1,HP,
Part 2,AMP,
Permaculture and Beyond,,
Permaculture for beginners,,
Post Covid Recovery Program - Meditation,,
Prajñā Yoga TTP,,
Prajñā Yoga(Juniors) for 5-8 yrs,,
Prajñā Yoga(Seniors) for 8-18 yrs,,
Prenatal Yoga Teacher Training Course,Sri Sri Yoga,
Preparation for AYUSH YCB,,
Prison Program Part 2,AMP,
Prison Program for Staff,,
Prison Smart,,
Program Upgrade Session,,
Project Bharat - Pratinidhi Training,,
Project Bharat - Seva Yoddha Training,,
Project Bharat - Trainer of Trainers training,,
Quit Tobacco Program,,
Ramayan TTC,,
Recharge sessions,,
Refresher,,
Residential SpineCare Yoga in AOL  Ashrams,,
Rural ArtExcel,UY/MY/IP,
Rural DSN,DSN,
Rural Happiness Program,Rural HP,
Rural Teachers Training Program,,
Rural VTP,,
Rural YES,UY/MY/IP,
SELP,YES+,
SHUDDHI,,
SIGNATURE SSSY TTP,Sri Sri Yoga,
SMART YES!,UY/MY/IP,
SRISRI DEMOFARM EFPO VISIT TRG,,
SSM@workplace(MSME),,
SSSK Daily Shlokas Online,,
SSSK EES,,
SSSK Foundation Camps,,
SSSK Foundation M1,,
SSSK Foundation M1A Online,,
SSSK Foundation M1A and B Online,,
SSSK Foundation M1B Online,,
SSSK Ramayan,,
SSSK Ramayan A Online,,
SSSK Ramayan A and B Online,,
SSSK Ramayan B Online,,
SSSK Ramayan Camps,,
SSSK Ramayan Camps Residential,,
SSSK TTC Hybrid,,
SSSK TTC Online,,
SSY,Sri Sri Yoga,
SUKHAM YOGA RETREAT,,
SYP 50Hrs Training,Sri Sri Yoga,
Sahaj Samadhi Dhyana Yoga,Sahaj,
Sahaj Samadhi Dhyana Yoga 1on1,Sahaj,
Sahaj Samadhi TTP,Sahaj,
Sanyam 1,,
Sanyam 1 Reconnect,,
Sanyam 2,,
School Medha Yoga 1 Upgrade,UY/MY/IP,
School Medha Yoga 2,UY/MY/IP,
School Medha Yoga Level 1,UY/MY/IP,
School Online KYC,,
School Online KYT,,
School Online MY1,UY/MY/IP,
School Online UY,UY/MY/IP,
School Utkarsha Yoga,UY/MY/IP,
